
2018-04-09 15:27:53 Commons Daemon procrun stdout initialized
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:48,618](DEBUG) - com.mingsoft.basic.dao.IManagerDao.getByEntity - (BaseJdbcLogger.java:145) <==      Total: 1 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:48,625](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:48,625](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:48,738](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:48,749](DEBUG) - com.mingsoft.basic.interceptor.ActionInterceptor - (BaseInterceptor.java:259) url:/ms/index.do 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:48,753](DEBUG) - com.mingsoft.basic.dao.IModelDao.queryModelByRoleId - (BaseJdbcLogger.java:145) ==>  Preparing: select MODEL_ID,MODEL_TITLE,MODEL_MODELID,MODEL_URL,MODEL_ICON from model where model_id in (select RM_MODELID from role_model where RM_ROLEID=?)  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:48,754](DEBUG) - com.mingsoft.basic.dao.IModelDao.queryModelByRoleId - (BaseJdbcLogger.java:145) ==> Parameters: 48(Integer) 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:48,776](DEBUG) - com.mingsoft.basic.dao.IModelDao.queryModelByRoleId - (BaseJdbcLogger.java:145) <==      Total: 69 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:49,385](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:49,397](DEBUG) - com.mingsoft.basic.interceptor.ActionInterceptor - (BaseInterceptor.java:259) url:/ms/upgrader/sync.do 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:49,397](DEBUG) - com.mingsoft.basic.interceptor.ActionInterceptor - (BaseInterceptor.java:266) ck: 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:49,493](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:49,505](DEBUG) - com.mingsoft.basic.interceptor.ActionInterceptor - (BaseInterceptor.java:259) url:/error/404.do 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:49,527](DEBUG) - com.mingsoft.basic.dao.IAppDao - (LoggingCache.java:62) Cache Hit Ratio [com.mingsoft.basic.dao.IAppDao]: 0.5 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,406](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,416](DEBUG) - com.mingsoft.basic.interceptor.ActionInterceptor - (BaseInterceptor.java:259) url:/login.do 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,419](DEBUG) - com.mingsoft.basic.dao.IAppDao - (LoggingCache.java:62) Cache Hit Ratio [com.mingsoft.basic.dao.IAppDao]: 0.6 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,421](DEBUG) - com.mingsoft.mdiy.dao.IPageDao.getByEntity - (BaseJdbcLogger.java:145) ==>  Preparing: select * from mdiy_page WHERE page_app_id=? and page_key=? limit 0,1  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,422](DEBUG) - com.mingsoft.mdiy.dao.IPageDao.getByEntity - (BaseJdbcLogger.java:145) ==> Parameters: 1(Integer), login(String) 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,428](DEBUG) - com.mingsoft.mdiy.dao.IPageDao.getByEntity - (BaseJdbcLogger.java:145) <==      Total: 1 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,458](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,458](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,459](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,462](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,462](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,467](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,511](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,596](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,628](DEBUG) - com.mingsoft.basic.interceptor.ActionInterceptor - (BaseInterceptor.java:259) url:/error/500.do 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,631](DEBUG) - com.mingsoft.basic.dao.IAppDao - (LoggingCache.java:62) Cache Hit Ratio [com.mingsoft.basic.dao.IAppDao]: 0.6666666666666666 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,650](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,653](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,660](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,666](DEBUG) - com.mingsoft.basic.interceptor.ActionInterceptor - (BaseInterceptor.java:259) url:/error/500.do 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,667](DEBUG) - com.mingsoft.basic.interceptor.ActionInterceptor - (BaseInterceptor.java:259) url:/error/404.do 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,667](DEBUG) - com.mingsoft.basic.dao.IAppDao - (LoggingCache.java:62) Cache Hit Ratio [com.mingsoft.basic.dao.IAppDao]: 0.7142857142857143 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,668](DEBUG) - com.mingsoft.basic.dao.IAppDao - (LoggingCache.java:62) Cache Hit Ratio [com.mingsoft.basic.dao.IAppDao]: 0.75 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,677](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:30:56,680](DEBUG) - net.mingsoft.basic.security.session.CacheSessionDAO - (CacheSessionDAO.java:68) doUpdate 1af4275d-9e4d-4415-8299-40fc5fdeb7fa  
[Ãú·ÉMS-V4.6.0 2018-04-09 15:31:15,581](INFO) - org.apache.shiro.session.mgt.AbstractValidatingSessionManager - (AbstractValidatingSessionManager.java:246) Disabled session validation scheduler. 
[Ãú·ÉMS-V4.6.0 2018-04-09 15:31:15,596](INFO) - com.alibaba.druid.pool.DruidDataSource - (DruidDataSource.java:1447) {dataSource-1} closed 
